            configname    selected        comp_n(Na)    formation_energy    hull_dist(ALL,comp)
    SCEL2_1_2_1_0_0_0/284         0        4.50000000         -1.04905279             0.13579278
    SCEL2_1_2_1_0_0_0/285         0        4.50000000         -1.03855550             0.14629007
    SCEL2_1_2_1_0_0_0/286         0        4.50000000         -1.12243163             0.06241394
    SCEL2_1_2_1_0_0_0/287         0        4.50000000         -1.05399965             0.13084592
    SCEL2_1_2_1_0_0_0/288         0        4.50000000         -1.05007946             0.13476611
    SCEL2_1_2_1_0_0_0/289         0        4.50000000         -0.90661315             0.27823242
    SCEL2_1_2_1_0_0_0/29          0        2.00000000         0.53931816              0.54545986
    SCEL2_1_2_1_0_0_0/290         0        4.50000000         -1.04689833             0.13794724
    SCEL2_1_2_1_0_0_0/291         0        4.50000000         -0.97144712             0.21339845
    SCEL2_1_2_1_0_0_0/292         0        4.50000000         -1.05365166             0.13119391
    SCEL2_1_2_1_0_0_0/293         0        4.50000000         -1.06683742             0.11800815
    SCEL2_1_2_1_0_0_0/294         0        4.50000000         -1.03159945             0.15324612
    SCEL2_1_2_1_0_0_0/295         0        4.50000000         -1.09078175             0.09406382
    SCEL2_1_2_1_0_0_0/296         0        4.50000000         -1.08893819             0.09590738
    SCEL2_1_2_1_0_0_0/297         0        4.50000000         -1.01794692             0.16689865
    SCEL2_1_2_1_0_0_0/298         0        4.50000000         -1.02651561             0.15832996
    SCEL2_1_2_1_0_0_0/299         0        4.50000000         -0.98397718             0.20086839
    SCEL2_1_2_1_0_0_0/3           0        2.00000000         0.39584528              0.40198699
    SCEL2_1_2_1_0_0_0/30          0        2.00000000         0.73182658              0.73796828
    SCEL2_1_2_1_0_0_0/300         0        4.50000000         -1.01614429             0.16870128
    SCEL2_1_2_1_0_0_0/301         0        4.50000000         -1.07864294             0.10620263
    SCEL2_1_2_1_0_0_0/302         0        4.50000000         -1.04249129             0.14235428
    SCEL2_1_2_1_0_0_0/303         0        4.50000000         -0.96806466             0.21678091
    SCEL2_1_2_1_0_0_0/304         0        4.50000000         -1.04711925             0.13772632
    SCEL2_1_2_1_0_0_0/305         0        4.50000000         -1.00268768             0.18215789
    SCEL2_1_2_1_0_0_0/306         0        4.50000000         -1.04644538             0.13840019
    SCEL2_1_2_1_0_0_0/307         0        4.50000000         -0.94909656             0.23574901
    SCEL2_1_2_1_0_0_0/308         0        4.50000000         -1.03892948             0.14591609
